Fecha;Radiacion_Solar_Global_kWh_m2;Radiacion_Cielo_Despejado_kWh_m2;Radiacion_Directa_Normal_kWh_m2;Radiacion_Difusa_kWh_m2;Temperatura_Media_C;Temperatura_Maxima_C;Temperatura_Minima_C;Velocidad_Viento_m_s;Direccion_Viento_grados;Precipitacion_mm;Humedad_Relativa_pct;Nubosidad_pct
01/01/2020;25.531;26.059;56.194;0.6929;5.65;11.52;0.32;0.95;42.8;0.0;68.87;13.47
02/01/2020;2.507;26.023;55.498;0.7466;4.5;10.34;0.5;0.9;181.0;0.0;83.56;49.52
03/01/2020;16.529;23.462;10.212;12.643;2.87;8.28;0.21;2.33;5.6;0.0;91.79;67.06
04/01/2020;25.817;26.479;62.383;0.4925;3.85;10.68;0.43;4.63;36.1;0.0;85.91;6.67
05/01/2020;27.509;27.569;73.502;0.3511;4.6;11.88;-1.61;2.49;36.0;0.0;73.62;2.19
06/01/2020;25.625;26.902;62.234;0.5083;4.96;12.38;0.33;1.62;30.1;0.0;65.96;10.46
07/01/2020;26.762;27.809;6.593;0.5803;4.5;13.9;-0.66;2.78;14.3;0.0;69.61;17.13
08/01/2020;26.102;27.168;62.518;0.5933;6.54;15.43;0.51;2.46;36.3;0.0;69.73;25.31
09/01/2020;2.58;26.323;5.862;0.5738;5.08;11.8;1.23;1.88;268.5;0.0;88.92;19.03
10/01/2020;26.782;28.104;63.485;0.5256;3.3;9.78;-0.84;4.8;8.9;0.0;83.22;13.74
11/01/2020;28.579;28.826;72.554;0.4054;2.92;10.23;-2.19;2.74;18.5;0.0;71.78;1.9
12/01/2020;29.172;29.309;72.658;0.4306;2.85;9.4;-2.77;1.61;10.0;0.0;61.4;3.47
13/01/2020;23.446;27.929;32.959;16.438;0.73;5.51;-2.37;1.82;205.8;0.0;82.47;52.73
14/01/2020;26.407;28.954;60.559;0.5777;0.51;6.66;-2.28;2.35;212.8;0.0;91.91;33.31
15/01/2020;0.9718;26.779;0.1805;0.8146;3.81;6.17;0.73;3.23;206.4;0.05;98.09;93.62
16/01/2020;15.134;28.051;27.082;0.7824;5.11;11.2;2.27;2.99;203.8;0.14;88.94;89.38
17/01/2020;1.997;29.602;25.618;12.749;5.8;10.88;3.37;2.98;276.4;0.19;82.72;66.44
18/01/2020;11.155;28.464;1.879;0.6014;4.71;6.78;1.77;3.63;211.9;3.82;95.74;89.97
19/01/2020;1.74;29.791;20.014;10.927;3.7;8.51;-0.42;9.59;14.8;0.61;68.77;81.81
20/01/2020;1.385;27.996;0.648;11.069;1.0;3.31;-1.14;10.72;35.6;0.78;66.52;85.51
21/01/2020;11.765;28.742;0.0432;10.097;2.98;5.87;0.82;9.41;42.1;6.56;83.59;98.94
22/01/2020;16.469;2.783;14.798;10.915;4.13;9.13;1.34;4.37;72.5;0.8;87.55;88.93
23/01/2020;19.404;27.502;22.826;11.484;3.46;9.23;-0.09;3.01;105.2;0.27;89.7;69.45
24/01/2020;11.359;28.553;0.7997;0.8988;4.85;7.8;2.76;2.77;135.4;3.16;93.43;99.38
25/01/2020;12.754;30.492;0.1118;10.843;5.87;8.84;3.7;2.7;164.0;6.54;93.7;98.34
26/01/2020;23.923;3.101;38.316;10.438;4.06;10.27;0.17;2.57;294.8;0.09;86.44;62.38
27/01/2020;14.047;29.983;0.7205;11.042;3.86;8.5;0.08;4.29;230.8;0.14;93.91;96.67
28/01/2020;13.078;31.286;0.2333;10.937;8.0;11.47;6.12;4.45;243.9;0.65;96.38;98.9
29/01/2020;18.624;30.461;16.039;13.774;8.42;13.33;5.71;2.84;243.7;0.58;91.4;99.45
30/01/2020;1.519;31.637;0.679;12.096;7.68;11.41;5.44;3.2;240.4;0.94;89.32;95.84
31/01/2020;19.843;32.417;17.134;13.682;8.48;13.94;5.59;2.64;246.6;0.9;92.95;88.42
01/02/2020;23.906;3.293;38.786;12.734;10.85;17.13;6.55;3.08;269.8;0.55;89.21;67.67
02/02/2020;16.474;34.229;17.381;11.434;8.64;14.22;5.51;1.18;304.4;0.0;92.49;83.03
03/02/2020;31.303;34.918;61.315;0.871;10.17;17.15;5.52;1.86;338.3;0.0;80.18;35.82
04/02/2020;3.462;35.777;68.122;0.7063;9.06;18.15;2.71;3.26;7.2;0.0;81.44;9.47
05/02/2020;36.226;37.054;78.974;0.4994;5.5;12.89;-0.31;3.48;65.1;0.0;73.7;0.33
06/02/2020;30.821;36.168;52.056;0.9576;5.97;10.82;2.14;2.31;115.8;0.0;87.19;47.14
07/02/2020;31.001;34.582;41.446;13.625;6.87;13.17;2.65;1.88;198.8;0.0;85.69;47.04
08/02/2020;15.358;33.365;0.8095;11.945;6.47;11.84;3.68;1.89;254.3;0.11;90.09;67.3
09/02/2020;16.164;35.959;0.6864;12.847;5.77;10.48;2.84;1.9;222.4;0.01;94.04;92.85
10/02/2020;26.669;36.194;36.672;11.599;8.22;15.77;4.44;2.31;291.4;0.08;91.34;51.17
11/02/2020;20.626;36.929;18.214;15.175;8.45;13.72;4.62;2.08;356.7;0.01;88.09;89.73
12/02/2020;18.809;34.056;0.2364;1.596;8.67;13.36;5.02;1.92;46.8;0.04;90.84;99.53
13/02/2020;19.303;37.843;20.628;11.705;9.05;14.11;4.91;2.26;286.2;0.09;87.27;66.52
14/02/2020;29.906;4.003;44.436;1.103;8.01;14.1;4.19;1.98;19.1;0.85;85.58;37.92
15/02/2020;39.449;40.541;68.263;0.9098;8.46;14.86;3.32;1.86;208.8;0.0;82.06;17.37
16/02/2020;38.899;41.854;72.708;0.8578;8.21;15.88;3.02;3.13;230.2;0.0;86.75;15.18
17/02/2020;15.545;39.823;0.3691;12.835;6.88;12.77;3.7;2.71;304.8;0.16;89.57;84.89
18/02/2020;3.035;4.218;45.778;13.274;6.64;12.7;1.48;3.17;38.7;0.04;78.45;38.42
19/02/2020;44.054;44.244;88.241;0.5712;6.93;13.87;-0.49;2.04;37.9;0.0;64.6;1.61
20/02/2020;44.731;44.801;89.489;0.5042;8.06;15.57;1.92;1.4;55.7;0.0;62.09;1.34
21/02/2020;45.552;45.638;90.744;0.5196;8.64;17.35;0.71;2.71;49.3;0.0;61.9;1.9
22/02/2020;45.931;46.433;89.294;0.6473;10.06;20.19;3.35;2.46;25.5;0.0;55.33;7.96
23/02/2020;46.243;46.738;88.409;0.5623;10.53;19.88;3.19;2.13;43.0;0.0;53.6;3.18
24/02/2020;46.687;47.275;88.651;0.6698;10.45;19.6;3.41;2.3;351.2;0.0;53.09;5.85
25/02/2020;32.052;44.774;14.371;23.923;8.49;16.28;3.34;4.17;316.4;0.0;73.0;78.22
26/02/2020;46.085;47.496;82.159;0.7541;6.89;14.17;1.24;3.65;325.6;0.0;74.29;27.4
27/02/2020;43.634;44.474;53.232;15.629;7.23;15.9;1.67;3.96;308.8;0.0;74.49;17.59
28/02/2020;41.045;45.118;40.118;22.651;8.56;16.83;1.32;2.8;227.7;0.0;73.94;58.56
29/02/2020;23.609;45.862;0.8568;18.478;7.45;11.65;2.92;5.6;235.6;0.05;90.45;79.42
01/03/2020;23.074;47.458;0.5868;18.566;8.15;12.79;3.25;6.73;233.0;4.16;90.45;95.0
02/03/2020;33.094;49.625;32.014;18.298;7.93;10.27;1.37;9.74;276.9;3.2;70.83;76.43
