Fecha,Radiacion_Solar_Global_kWh_m2,Radiacion_Cielo_Despejado_kWh_m2,Radiacion_Directa_Normal_kWh_m2,Radiacion_Difusa_kWh_m2,Temperatura_Media_C,Temperatura_Maxima_C,Temperatura_Minima_C,Velocidad_Viento_m_s,Direccion_Viento_grados,Precipitacion_mm,Humedad_Relativa_pct,Nubosidad_pct
2020-01-01,2.5531,2.6059,5.6194,0.6929,5.65,11.52,0.32,0.95,42.8,0.0,68.87,13.47
2020-01-02,2.507,2.6023,5.5498,0.7466,4.5,10.34,0.5,0.9,181.0,0.0,83.56,49.52
2020-01-03,1.6529,2.3462,1.0212,1.2643,2.87,8.28,0.21,2.33,5.6,0.0,91.79,67.06
2020-01-04,2.5817,2.6479,6.2383,0.4925,3.85,10.68,0.43,4.63,36.1,0.0,85.91,6.67
2020-01-05,2.7509,2.7569,7.3502,0.3511,4.6,11.88,-1.61,2.49,36.0,0.0,73.62,2.19
2020-01-06,2.5625,2.6902,6.2234,0.5083,4.96,12.38,0.33,1.62,30.1,0.0,65.96,10.46
2020-01-07,2.6762,2.7809,6.593,0.5803,4.5,13.9,-0.66,2.78,14.3,0.0,69.61,17.13
2020-01-08,2.6102,2.7168,6.2518,0.5933,6.54,15.43,0.51,2.46,36.3,0.0,69.73,25.31
2020-01-09,2.58,2.6323,5.862,0.5738,5.08,11.8,1.23,1.88,268.5,0.0,88.92,19.03
2020-01-10,2.6782,2.8104,6.3485,0.5256,3.3,9.78,-0.84,4.8,8.9,0.0,83.22,13.74
2020-01-11,2.8579,2.8826,7.2554,0.4054,2.92,10.23,-2.19,2.74,18.5,0.0,71.78,1.9
2020-01-12,2.9172,2.9309,7.2658,0.4306,2.85,9.4,-2.77,1.61,10.0,0.0,61.4,3.47
2020-01-13,2.3446,2.7929,3.2959,1.6438,0.73,5.51,-2.37,1.82,205.8,0.0,82.47,52.73
2020-01-14,2.6407,2.8954,6.0559,0.5777,0.51,6.66,-2.28,2.35,212.8,0.0,91.91,33.31
2020-01-15,0.9718,2.6779,0.1805,0.8146,3.81,6.17,0.73,3.23,206.4,0.05,98.09,93.62
2020-01-16,1.5134,2.8051,2.7082,0.7824,5.11,11.2,2.27,2.99,203.8,0.14,88.94,89.38
2020-01-17,1.997,2.9602,2.5618,1.2749,5.8,10.88,3.37,2.98,276.4,0.19,82.72,66.44
2020-01-18,1.1155,2.8464,1.879,0.6014,4.71,6.78,1.77,3.63,211.9,3.82,95.74,89.97
2020-01-19,1.74,2.9791,2.0014,1.0927,3.7,8.51,-0.42,9.59,14.8,0.61,68.77,81.81
2020-01-20,1.385,2.7996,0.648,1.1069,1.0,3.31,-1.14,10.72,35.6,0.78,66.52,85.51
2020-01-21,1.1765,2.8742,0.0432,1.0097,2.98,5.87,0.82,9.41,42.1,6.56,83.59,98.94
2020-01-22,1.6469,2.783,1.4798,1.0915,4.13,9.13,1.34,4.37,72.5,0.8,87.55,88.93
2020-01-23,1.9404,2.7502,2.2826,1.1484,3.46,9.23,-0.09,3.01,105.2,0.27,89.7,69.45
2020-01-24,1.1359,2.8553,0.7997,0.8988,4.85,7.8,2.76,2.77,135.4,3.16,93.43,99.38
2020-01-25,1.2754,3.0492,0.1118,1.0843,5.87,8.84,3.7,2.7,164.0,6.54,93.7,98.34
2020-01-26,2.3923,3.101,3.8316,1.0438,4.06,10.27,0.17,2.57,294.8,0.09,86.44,62.38
2020-01-27,1.4047,2.9983,0.7205,1.1042,3.86,8.5,0.08,4.29,230.8,0.14,93.91,96.67
2020-01-28,1.3078,3.1286,0.2333,1.0937,8.0,11.47,6.12,4.45,243.9,0.65,96.38,98.9
2020-01-29,1.8624,3.0461,1.6039,1.3774,8.42,13.33,5.71,2.84,243.7,0.58,91.4,99.45
2020-01-30,1.519,3.1637,0.679,1.2096,7.68,11.41,5.44,3.2,240.4,0.94,89.32,95.84
2020-01-31,1.9843,3.2417,1.7134,1.3682,8.48,13.94,5.59,2.64,246.6,0.9,92.95,88.42
2020-02-01,2.3906,3.293,3.8786,1.2734,10.85,17.13,6.55,3.08,269.8,0.55,89.21,67.67
2020-02-02,1.6474,3.4229,1.7381,1.1434,8.64,14.22,5.51,1.18,304.4,0.0,92.49,83.03
2020-02-03,3.1303,3.4918,6.1315,0.871,10.17,17.15,5.52,1.86,338.3,0.0,80.18,35.82
2020-02-04,3.462,3.5777,6.8122,0.7063,9.06,18.15,2.71,3.26,7.2,0.0,81.44,9.47
2020-02-05,3.6226,3.7054,7.8974,0.4994,5.5,12.89,-0.31,3.48,65.1,0.0,73.7,0.33
2020-02-06,3.0821,3.6168,5.2056,0.9576,5.97,10.82,2.14,2.31,115.8,0.0,87.19,47.14
2020-02-07,3.1001,3.4582,4.1446,1.3625,6.87,13.17,2.65,1.88,198.8,0.0,85.69,47.04
2020-02-08,1.5358,3.3365,0.8095,1.1945,6.47,11.84,3.68,1.89,254.3,0.11,90.09,67.3
2020-02-09,1.6164,3.5959,0.6864,1.2847,5.77,10.48,2.84,1.9,222.4,0.01,94.04,92.85
2020-02-10,2.6669,3.6194,3.6672,1.1599,8.22,15.77,4.44,2.31,291.4,0.08,91.34,51.17
2020-02-11,2.0626,3.6929,1.8214,1.5175,8.45,13.72,4.62,2.08,356.7,0.01,88.09,89.73
2020-02-12,1.8809,3.4056,0.2364,1.596,8.67,13.36,5.02,1.92,46.8,0.04,90.84,99.53
2020-02-13,1.9303,3.7843,2.0628,1.1705,9.05,14.11,4.91,2.26,286.2,0.09,87.27,66.52
2020-02-14,2.9906,4.003,4.4436,1.103,8.01,14.1,4.19,1.98,19.1,0.85,85.58,37.92
2020-02-15,3.9449,4.0541,6.8263,0.9098,8.46,14.86,3.32,1.86,208.8,0.0,82.06,17.37
2020-02-16,3.8899,4.1854,7.2708,0.8578,8.21,15.88,3.02,3.13,230.2,0.0,86.75,15.18
2020-02-17,1.5545,3.9823,0.3691,1.2835,6.88,12.77,3.7,2.71,304.8,0.16,89.57,84.89
2020-02-18,3.035,4.218,4.5778,1.3274,6.64,12.7,1.48,3.17,38.7,0.04,78.45,38.42
2020-02-19,4.4054,4.4244,8.8241,0.5712,6.93,13.87,-0.49,2.04,37.9,0.0,64.6,1.61
2020-02-20,4.4731,4.4801,8.9489,0.5042,8.06,15.57,1.92,1.4,55.7,0.0,62.09,1.34
2020-02-21,4.5552,4.5638,9.0744,0.5196,8.64,17.35,0.71,2.71,49.3,0.0,61.9,1.9
2020-02-22,4.5931,4.6433,8.9294,0.6473,10.06,20.19,3.35,2.46,25.5,0.0,55.33,7.96
2020-02-23,4.6243,4.6738,8.8409,0.5623,10.53,19.88,3.19,2.13,43.0,0.0,53.6,3.18
2020-02-24,4.6687,4.7275,8.8651,0.6698,10.45,19.6,3.41,2.3,351.2,0.0,53.09,5.85
2020-02-25,3.2052,4.4774,1.4371,2.3923,8.49,16.28,3.34,4.17,316.4,0.0,73.0,78.22
